,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
177,,,,inner peace,,,outreach,,
178,,,,inner - peace,,,patience,,
179,,,,insight,,,positive regard,,
180,,,,intention,,,presence,,
181,,,,introspection,,,prosocial behavior,,
182,,,,introspective,,,psychological safety,,
183,,,,joy,,,rapport,,
184,,,,kindness,,,relational harmony,,
185,,,,let go,,,resilience,,
186,,,,liberation,,,respect,,
187,,,,love - kindness,,,self,,
188,,,,mantra,,,selflessness,,
189,,,,meditate,,,sensitivity,,
190,,,,meditation,,,service,,
191,,,,meditative,,,share,,
192,,,,mindful,,,social connectedness,,
193,,,,mindful breathing,,,solace,,
194,,,,mindful communication,,,solidarity,,
195,,,,mindful eating,,,support,,
196,,,,mindful journaling,,,sympathy,,
197,,,,mindful movement,,,tenderness,,
198,,,,mindful walking,,,togetherness,,
199,,,,mindful - breathing,,,tolerance,,
200,,,,mindful - eating,,,trust,,
201,,,,mindful - listen,,,unconditional positive regard,,
202,,,,mindful - living,,,understand,,
203,,,,mindful - speak,,,unity,,
204,,,,mindful - thinking,,,uplift,,
205,,,,mindful - walk,,,uplift,,
206,,,,mindfulness,,,validation,,
207,,,,mindfulness - base,,,vulnerability,,
208,,,,moment to moment,,,warmth,,
209,,,,nature connection,,,well - being,,
210,,,,non - judgment,,,,,
211,,,,non - reactivity,,,,,
212,,,,nonattachment,,,,,
213,,,,nonjudgemental,,,,,
214,,,,nonreactive,,,,,
215,,,,notice,,,,,
216,,,,notice,,,,,
217,,,,now,,,,,
218,,,,observance,,,,,
219,,,,observation,,,,,
220,,,,observe,,,,,
221,,,,oneness,,,,,
222,,,,openness,,,,,
223,,,,patience,,,,,
224,,,,pay attention,,,,,
225,,,,peace,,,,,
226,,,,peaceful,,,,,
227,,,,peacefulness,,,,,
228,,,,perception,,,,,
229,,,,presence,,,,,
230,,,,present,,,,,
231,,,,present moment,,,,,
232,,,,present - focused,,,,,
233,,,,reflection,,,,,
234,,,,reflective,,,,,
235,,,,relaxation,,,,,
236,,,,resilience,,,,,
237,,,,scan,,,,,
238,,,,self - awareness,,,,,
239,,,,self - compassion,,,,,
240,,,,self - reflection,,,,,
241,,,,self - regulation,,,,,
242,,,,sensory,,,,,
243,,,,sensory experience,,,,,
244,,,,serenity,,,,,
245,,,,silence,,,,,
246,,,,soft,,,,,
247,,,,stillness,,,,,
248,,,,stress reduction,,,,,
249,,,,tranquility,,,,,
250,,,,understand,,,,,
251,,,,unroll,,,,,
252,,,,visualization,,,,,
253,,,,visualization technique,,,,,
254,,,,yoga,,,,,
255,,,,zen,,,,,
