,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
32,grasping,,2,gratitude,bliss,2,healing,,1
33,illumination,,3,grounding,,2,help others,,3
34,inner awareness,,3,harmony,,2,humanity,,1
35,inner clarity,,3,here,,0,humility,,1
36,inner perception,,3,here and now,,2,inclusivity,,1
37,inner realization,,3,inner peace,,2,kind,,3
38,inner vision,,3,inner-peace,,2,kindness,,3
39,inner wisdom,,3,insight,,2,kindness meditation,,3
40,insightfulness,,3,intention,,1,listening,,2
41,intelligence,,1,intentionality,,1,love,,3
42,interpretation,,1,introspection,,2,loving-kindness,,3
43,introspection,,3,kindness,,2,mercy,,2
44,intuition,,2,letting go,,3,mindfulness,,3
45,intuitive grasp,,2,letting-go,,3,moral elevation,,1
46,intuitive understanding,,3,loving-kindness,,3,nonjudgmental,,2
47,intuitiveness,,2,meditate,,3,nurture,,2
48,judgment,,1,meditation,,3,outreach,,2
49,keenness,,1,meditative,,3,patience,,1
50,knowing,,2,mental clarity,,1,positive regard,,1
51,knowledge,,3,mental-health,,1,presence,,1
52,learning,,2,metta,,2,prosocial,,3
53,lucidity,,3,mindful,,2,prosocial behavior,,3
54,mental clarity,,3,mindful eating,,2,psychological safety,,2
55,mindfulness,,3,mindful walking,,2,rapport,,2
56,observance,,1,mindful-breathing,,2,reassurance,,2
57,observancy,,1,mindful-eating,,2,respect,,3
58,observation,,1,mindful-walking,,2,selflessness,,3
59,penetration,,1,mindfulness,,2,sensitivity,,1
60,percept,,1,mindfulness-based,,2,social connectedness,,3
61,perception,,2,moment to moment,,1,social support,,3
62,perceptive,,2,non-attachment,,3,solace,,2
63,perceptiveness,,2,non-reactive,,3,solidarity,,3
64,perceptivity,,2,nonattachment,,3,support,,3
65,perspective,,2,nonjudgemental,,3,sympathy,,3
66,perspicacity,,2,nonreactive,,3,tenderness,,2
67,perspicuity,,2,nonstriving,,3,tolerance,,3
68,profound awareness,,3,noticing,,2,trust,,3
69,profound understanding,,3,now,,0,understanding,,2
70,profoundness,,3,observance,,1,validation,,2
71,profundity,,2,observation,,1,vulnerability,,2
72,prognosis,,1,observe,,1,warmth,,3
73,prudence,,1,openness,,2,well-being,,2
74,psychological insight,,3,patience,,1,,,
75,realization,,3,pay attention,,2,,,
76,recognition,,2,peace,,3,,,
77,reflection,,2,peacefulness,,3,,,
78,revelation,,3,perception,,1,,,
79,sagaciousness,,2,poise,,1,,,
80,sagacity,,2,practice,,1,,,
81,sapience,,3,presence,,2,,,
82,self-awareness,,3,present,,1,,,
83,self-discovery,,3,present-focused,,3,,,
84,self-examination,,2,psychological flexibility,,2,,,
85,self-knowledge,,3,reflection,,2,,,
86,self-realization,,3,relaxation,,2,,,
87,self-reflection,,2,resilience,,2,,,
88,self-understanding,,3,samadhi,,3,,,
89,sharpness,,2,self-acceptance,,3,,,
90,shrewdness,,2,self-awareness,,2,,,
91,understanding,,1,self-care,,2,,,
92,vision,,1,self-compassion,,3,,,
93,wisdom,,3,self-reflection,,2,,,
94,wise,,3,self-regulation,,2,,,
95,,,,sensation,,2,,,
96,,,,serenity,,2,,,
97,,,,silence,,2,,,
98,,,,spaciousness,,2,,,
99,,,,stability,,1,,,
100,,,,stillness,,2,,,
101,,,,stress reduction,,1,,,
102,,,,stress-reduction,,1,,,
103,,,,surrender,,1,,,
104,,,,tranquility,,2,,,
105,,,,transcendence,,2,,,
106,,,,understanding,,1,,,
107,,,,vipassana,,3,,,
108,,,,well-being,,1,,,
109,,,,witnessing,,1,,,
110,,,,zen,,3,,,
